Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Flight ID
8.06,1.0,7.0,2026-04-30 00:25:12,37.08161,-121.59956,321.0,0.0,286.4,-12.6,,,,,00:25:12,10.9,-0.9,26.1,0.0,240.0,0.1,-0.01,1.0,99.0,-38.0,26.0,0.0,29.89,1656.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.3,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.7,,,,,,0.0,2026-04-29 17:25:12-07:00
9.06,1.0,7.0,2026-04-30 00:25:13,37.08161,-121.59962,281.0,0.1,286.4,-12.6,,,,,00:25:13,10.9,-0.9,26.1,0.0,240.0,0.1,-0.01,1.0,99.0,-21.0,26.0,0.0,29.89,1656.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,29.0,26.0,26.0,26.0,29.0,26.0,26.0,,,-4.0,254.3,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.7,,,,,,0.0,2026-04-29 17:25:12-07:00
10.06,1.0,7.0,2026-04-30 00:25:14,37.08161,-121.59962,282.0,0.0,286.4,-12.6,,,,,00:25:14,10.9,-0.9,26.1,0.0,239.0,0.1,-0.01,1.0,99.0,-28.0,26.0,0.0,29.89,1656.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,29.0,26.0,26.0,26.0,29.0,26.0,26.0,,,-4.0,254.3,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.7,,,,,,0.0,2026-04-29 17:25:12-07:00
11.06,1.0,7.0,2026-04-30 00:25:15,37.08161,-121.59962,283.0,0.0,286.4,-12.6,,,,,00:25:15,10.9,-0.9,26.1,0.0,239.0,0.1,-0.01,1.0,99.0,-32.0,26.0,0.0,29.89,1653.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.7,,,,,,0.0,2026-04-29 17:25:12-07:00
12.06,1.0,7.0,2026-04-30 00:25:16,37.08161,-121.59962,284.0,0.0,286.4,-12.6,,,,,00:25:16,10.9,-0.9,26.1,0.0,238.0,0.1,-0.01,1.0,99.0,-11.0,26.0,0.0,29.89,1653.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.7,,,,,,0.0,2026-04-29 17:25:12-07:00
13.06,1.0,7.0,2026-04-30 00:25:17,37.08161,-121.59962,285.0,0.0,286.4,-12.6,,,,,00:25:17,10.9,-0.9,26.1,0.0,238.0,0.1,-0.01,1.0,99.0,1.0,26.0,0.0,29.89,1653.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,29.0,26.0,26.0,26.0,29.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
14.06,1.0,8.0,2026-04-30 00:25:18,37.0816,-121.59955,391.0,0.0,286.4,-12.6,,,,,00:25:18,10.9,-0.9,26.1,0.0,237.0,0.1,-0.02,1.0,99.0,-34.0,26.0,0.0,29.89,1661.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
15.06,1.0,8.0,2026-04-30 00:25:19,37.08161,-121.59958,325.0,0.0,286.4,-12.6,,,,,00:25:19,10.9,-0.9,26.1,0.0,236.0,0.1,-0.01,1.0,99.0,-20.0,27.0,0.0,29.89,1660.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
16.06,1.0,8.0,2026-04-30 00:25:20,37.08161,-121.59958,325.0,0.0,286.4,-12.6,,,,,00:25:20,10.9,-0.9,26.1,0.0,235.0,0.1,-0.02,1.0,99.0,-54.0,27.0,0.0,29.89,1660.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
17.06,1.0,8.0,2026-04-30 00:25:21,37.0816,-121.59958,326.0,0.0,286.4,-12.6,,,,,00:25:21,10.9,-0.9,26.1,0.0,235.0,0.1,-0.01,1.0,99.0,-11.0,27.0,0.0,29.89,1658.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
18.06,1.0,8.0,2026-04-30 00:25:22,37.0816,-121.59958,327.0,0.0,286.4,-12.6,,,,,00:25:22,10.9,-0.9,26.1,0.0,234.0,0.1,-0.01,1.0,99.0,-42.0,27.0,0.0,29.89,1658.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
19.06,1.0,8.0,2026-04-30 00:25:23,37.0816,-121.59958,328.0,0.0,286.4,-12.6,,,,,00:25:23,10.9,-0.9,26.1,0.0,233.0,0.1,-0.02,1.0,99.0,-39.0,27.0,0.0,29.89,1658.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
20.06,1.0,8.0,2026-04-30 00:25:24,37.0816,-121.59958,329.0,0.0,286.4,-12.6,,,,,00:25:24,10.9,-1.0,26.1,0.0,233.0,0.1,-0.02,1.0,99.0,-31.0,27.0,0.0,29.89,1657.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
21.06,1.0,8.0,2026-04-30 00:25:25,37.0816,-121.59958,330.0,0.1,286.4,-12.6,,,,,00:25:25,10.9,-1.0,26.1,0.0,231.0,0.1,-0.02,1.0,99.0,-63.0,27.0,0.0,29.89,1657.0,,,144.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,0.0,31.2,0.0,,0.0,0.0,,,21.8,0.0,0.0,-0.1,12.9,10.6,,,,,26.0,30.0,26.0,26.0,26.0,30.0,26.0,26.0,,,-4.0,254.2,,0.0,3.0,0.0,,,1.304,0.835,0.0,25.6,,,,,,0.0,2026-04-29 17:25:12-07:00
