Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,RPM,Flight ID
0.06,1.0,9.0,2026-01-10 20:11:22,37.08152,-121.59966,334.0,0.5,153.0,-12.7,,,,,20:11:22,,,,,,,,,,,13.0,,,,,,241.0,,110.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-10 12:11:22-08:00
1.06,1.0,9.0,2026-01-10 20:11:23,37.08152,-121.59965,334.0,0.0,153.0,-12.6,,,,,20:11:22,10.9,-0.9,55.9,0.0,-207.0,0.0,-0.02,1.0,,-72.0,13.0,0.0,29.88,-535.0,,,241.0,,110.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.837,0.0,56.1,,,,,,0.0,2026-01-10 12:11:22-08:00
2.06,1.0,9.0,2026-01-10 20:11:24,37.08152,-121.59965,334.0,0.0,153.0,-12.6,,,,,20:11:23,10.8,-0.9,55.9,0.0,-209.0,-0.0,-0.02,1.0,,-98.0,13.0,0.0,29.88,-535.0,,,241.0,,110.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.837,0.0,56.1,,,,,,0.0,2026-01-10 12:11:22-08:00
3.06,1.0,9.0,2026-01-10 20:11:25,37.08153,-121.59965,333.0,0.0,153.0,-12.6,,,,,20:11:24,10.8,-0.9,56.0,0.0,-210.0,0.0,-0.02,1.0,,-83.0,13.0,0.0,29.88,-535.0,,,241.0,,110.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.837,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
4.06,1.0,9.0,2026-01-10 20:11:27,37.08153,-121.59964,333.0,0.0,153.0,-12.6,,,,,20:11:26,10.9,-0.9,56.0,0.0,-212.0,0.0,-0.02,1.0,,-76.0,13.0,0.0,29.88,-531.0,,,241.0,,110.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,16.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.836,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
5.06,1.0,9.0,2026-01-10 20:11:27,37.08153,-121.59964,333.0,0.0,153.0,-12.6,,,,,20:11:26,10.9,-0.9,56.0,0.0,-212.0,0.0,-0.02,1.0,,-73.0,13.0,0.0,29.88,-531.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,30.6,0.0,,0.0,0.0,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,16.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.836,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
6.06,1.0,9.0,2026-01-10 20:11:28,37.08154,-121.59964,333.0,0.1,153.0,-12.6,,,,,20:11:27,10.9,-1.0,56.0,0.0,-212.0,0.0,-0.02,1.0,,-43.0,13.0,0.0,29.88,-531.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,30.6,0.0,,0.0,0.0,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.836,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
7.06,1.0,9.0,2026-01-10 20:11:29,37.08154,-121.59963,333.0,0.0,153.0,-12.6,,,,,20:11:28,10.9,-1.0,55.9,0.0,-212.0,0.0,-0.02,1.0,,-12.0,13.0,0.0,29.88,-533.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,30.6,0.0,,0.0,0.0,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.836,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
8.06,1.0,9.0,2026-01-10 20:11:30,37.08154,-121.59963,333.0,0.0,153.0,-12.6,,,,,20:11:29,10.9,-1.0,55.9,0.0,-212.0,0.0,-0.02,1.0,,15.0,13.0,0.0,29.88,-532.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,30.6,0.0,,0.0,0.0,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,8.0,13.0,9.0,15.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.836,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
9.06,1.0,9.0,2026-01-10 20:11:31,37.08154,-121.59963,333.0,0.0,153.0,-12.6,,,,,20:11:30,11.0,-0.9,55.9,0.0,-212.0,0.0,-0.02,1.0,,32.0,13.0,0.0,29.88,-532.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,30.6,0.0,,0.0,0.0,,,38.0,0.0,0.0,-0.2,0.6,0.2,,,,,9.0,13.0,9.0,16.0,9.0,13.0,9.0,16.0,,,-2.0,254.5,,0.0,3.0,0.0,,,0.653,0.835,0.0,8.4,,,,,,0.0,2026-01-10 12:11:22-08:00
